char,division,division_tw,region
掌,尚手,,CJK
赵,走乂,,CJK
密,宀心丿山,,CJK
九,九,,CJK
病,疒一冂人,,CJK
卫,一,,CJK
米,米,,CJK
威,戊一女,,CJK
继,纟米乚,,CJK
渐,氵车斤,,CJK
统,纟亠厶儿,纟七丶儿,CJK
追,𠂤辶,,CJK
亚,一业,,CJK
简,⺮门日,,CJK
练,纟七㇆八,,CJK
基,其土,,CJK
选,⺧儿辶,,CJK
推,扌隹,,CJK
改,己夊,,CJK
退,艮辶,,CJK
味,口未,,CJK
份,亻八刀,,CJK
举,八,,CJK
示,示,,CJK
忍,刀丶心,,CJK
历,厂力,,CJK
器,口口犬口,,CJK
恐,工几丶心,,CJK
引,弓丨,,CJK
试,讠弋工,,CJK
皮,皮,,CJK
习,习,,CJK
靠,⺧口非,,CJK
导,巳寸,,CJK
存,丨子,,CJK
莫,艹日大,,CJK
志,士心,,CJK
区,匚乂,,CJK
汉,氵又,,CJK
右,口,,CJK
严,一业丿,,CJK
态,大丶心,,CJK
买,乛⺀大,,CJK
幸,土,,CJK
社,示土,,CJK
佛,亻弓,,CJK
议,讠丶乂,,CJK
树,木又寸,,CJK
止,止,,CJK
块,土ユ人,,CJK
守,宀寸,,CJK
毛,毛,,CJK
挥,扌冖车,,CJK
胡,古月,古⺼,CJK
散,龷月夊,龷⺼夊,CJK
板,木⺁又,木厂又,CJK
仅,亻又,,CJK
隐,阝⺈彐心,,CJK
怒,女又心,,CJK
床,广木,,CJK
苏,艹力八,,CJK
料,米⺀十,,CJK
股,月殳,⺼殳,CJK
局,尸㇆口,,CJK
班,王リ王,,CJK
图,囗夊⺀,,CJK
岁,山夕,,CJK
礼,示乚,,CJK
独,犭虫,,CJK
初,衤刀,,CJK
福,示一口田,,CJK
顺,川页,,CJK
狂,犭王,,CJK
默,黑犬,,CJK
巨,匚コ,,CJK
既,彐厶匚儿,,CJK
松,木八厶,,CJK
证,讠一止,,CJK
烈,一夕刂灬,,CJK
否,不口,,CJK
恶,一业心,,CJK
治,氵厶口,,CJK
缓,纟爫干又,,CJK
排,扌非,,CJK
费,弓贝,,CJK
拍,扌白,,CJK
耳,耳,,CJK
医,匚矢,,CJK
寒,宀八⺀,,CJK
哭,口口犬,,CJK
温,氵日皿,,CJK
府,广亻寸,,CJK
担,扌日一,,CJK
称,禾⺈小,,CJK
余,人一木,,CJK
钟,钅口丨,,CJK
泪,氵目,,CJK
烟,火囗大,,CJK
仍,亻乃,,CJK
具,八,,CJK
忘,亡心,,CJK
恩,囗大心,,CJK
毕,匕匕十,,CJK
警,艹勹口言,卝勹口言,CJK
蓝,艹〢皿,,CJK
宫,宀口口,,CJK
吸,口乃乀,口丿乛又,CJK
陆,阝凵,,CJK
究,穴九,,CJK
抓,扌爪,,CJK
压,厂土丶,,CJK
沙,氵小丿,,CJK
救,一水丶夊,,CJK
呆,口木,,CJK
河,氵丁口,,CJK
迷,米辶,,CJK
枪,木人㔾,,CJK
组,纟且,,CJK
权,木又,,CJK
叹,口又,,CJK
孙,子小,,CJK
卷,丷夫㔾,,CJK
查,木日一,,CJK
毫,毛,,CJK
春,𡗗日,,CJK
察,宀示,,CJK
圣,又土,,CJK
草,艹早,,CJK
较,车亠八乂,,CJK
胜,月生,⺼生,CJK
遇,禺辶,,CJK
充,亠厶儿,七丶儿,CJK
史,口乂,,CJK
堂,尚土,,CJK
防,阝方,,CJK
据,扌尸古,,CJK
猛,犭子皿,,CJK
骑,马大丁口,,CJK
土,土,,CJK
卡,上卜,,CJK
助,且力,,CJK
京,小,,CJK
银,钅艮,,CJK
贵,口丄贝,,CJK
永,丶水,,CJK
质,⺁十贝,,CJK
屋,尸至,,CJK
须,彡页,,CJK
副,一口田刂,,CJK
换,扌⺈冂大,,CJK
刺,木冂刂,,CJK
属,尸丿口,,CJK
闻,门耳,,CJK
境,土立日儿,,CJK
禁,木木示,,CJK
阴,阝月,,CJK
共,龷八,,CJK
负,⺈贝,,CJK
弄,王廾,,CJK
翻,丿米田习,,CJK
虎,虎,,CJK
层,尸二厶,,CJK
喊,口戊一口,,CJK
逃,儿冫辶,,CJK
晓,日七丿兀,,CJK
座,广人人土,,CJK
雅,牙隹,,CJK
参,厶大彡,,CJK
射,身寸,,CJK
婚,女七日,,CJK
险,阝人一,,CJK
君,彐丿口,,CJK
划,戈刂,,CJK
坚,〢又土,,CJK
价,亻人,,CJK
柔,予丿木,,CJK
超,走刀口,,CJK
扬,扌𠄎,,CJK
科,禾⺀十,,CJK
按,扌宀女,,CJK
狠,犭艮,,CJK
野,里予,,CJK
秦,𡗗禾,,CJK
秘,禾心丿,,CJK
熟,子九灬,,CJK
置,罒十,,CJK
仙,亻山,,CJK
模,木艹日大,,CJK
伸,亻申,,CJK
波,氵皮,,CJK
肉,冂人人,,CJK
假,亻尸二又,,CJK
齐,文,,CJK
舞,𠂉卌一ヰ,,CJK
脱,月丷口儿,⺼丷口儿,CJK
广,广,,CJK
姑,女古,,CJK
麻,麻,,CJK
投,扌殳,,CJK
顶,丁页,,CJK
致,至夊,,CJK
责,龶贝,,CJK
景,日小,,CJK
营,艹冖口口,,CJK
维,纟隹,,CJK
设,讠殳,,CJK
坏,土不,,CJK
啦,口扌立,,CJK
秀,禾乃,,CJK
败,贝夊,,CJK
眉,目,,CJK
州,⺍川,,CJK
药,艹纟勹丶,,CJK
承,乛水三,,CJK
案,宀女木,,CJK
狼,犭丶艮,,CJK
专,二㇉丶,,CJK
偷,亻人一刂,,CJK
画,一田凵,,CJK
吴,口一大,,CJK
店,广⺊口,,CJK
哦,口丿扌戈,,CJK
弹,弓丷日十,,CJK
食,食,,CJK
欲,八人口欠,,CJK
抬,扌厶口,,CJK
标,木示,,CJK
秋,禾火,,CJK
厉,厂一勹,,CJK
良,丶艮,,CJK
际,阝示,,CJK
状,丬犬,,CJK
烦,火页,,CJK
午,𠂉十,,CJK
摆,扌罒土厶,,CJK
戏,又戈,,CJK
桌,⺊日木,,CJK
船,舟几口,舟儿口,CJK
短,矢一口䒑,,CJK
村,木寸,,CJK
某,卄二木,,CJK
摸,扌艹日大,,CJK
付,亻寸,,CJK
演,氵宀一八,,CJK
规,夫见,,CJK
萧,艹肀八,,CJK
封,土土寸,,CJK
握,扌尸至,,CJK
田,田,,CJK
唐,广肀口,,CJK
藏,艹戈爿臣,,CJK
震,雨辰,,CJK
混,氵日匕匕,,CJK
虚,虍业,,CJK
透,禾乃辶,,CJK
纪,纟己,,CJK
凌,冫土八夊,冫土儿夊,CJK
休,亻木,,CJK
嘛,口麻,,CJK
梅,木𠂉母,,CJK
紫,止匕糸,,CJK
歌,丅口丁欠,,CJK
临,〢,,CJK
毒,龶母,龶,CJK
宗,宀示,,CJK
著,艹耂日,,CJK
索,十冖糸,,CJK
印,一卩,,CJK
寻,彐寸,,CJK
湖,氵古月,氵古⺼,CJK
劲,ス工力,,CJK
职,耳口八,,CJK
技,扌十又,,CJK
恨,忄艮,,CJK
婆,氵皮女,,CJK
杰,木灬,,CJK
羽,习习,,CJK
咱,口自,,CJK
素,龶糸,,CJK
凡,几丶,,CJK
值,亻十,,CJK
飘,覀示几乂,,CJK
养,䒑夫,,CJK
嘿,口黑,,CJK
普,䒑业日,,CJK
