禾,tna,助记：偷「tou」拿「na」盒「禾」子
工,to,助记：偷「tou」工减料
牛,tpa,助记：偷「tou」跑「pao」牛
,ta,助记：比「牛」少一码
,tu,助记：还没想好怎么编
,tu,助记：㊟同「」归并
甲,twu,助记：特「te」务「wu」甲
竹,va,助记：还没想好怎么编
,va,助记：㊟同「竹」归并
,va,助记：㊟同「竹」归并
立,vhe,助记：为「v」何「he」起立
辛,vpe,助记：还没想好怎么编
火,vi,助记：还没想好怎么编
灬,vhe,助记：为「v」何「he」飙「灬biāo」车
门,vje,助记：未「v」进「jin」门「men」
二,vke,助记：还没想好怎么编
,vke,助记：㊟同「二」归并
,vke,助记：㊟同「二」归并
⺀,vke,助记：㊟同「二」归并
黑,vne,助记：还没想好怎么编
十,vu,助记：十乌「vu」当空
甫,vxo,助记：还没想好怎么编
冊,vye,助记：还没想好怎么编
,vye,助记：㊟同「冊」归并
丿,wi,助记：跟「人」一样
,wu,助记：2「」+3「彡」=5「wu」
彡,wu,助记：2「」+3「彡」=5「wu」
人,wi,助记：伟「wei」人
,wi,助记：为「wei」了钱
自,wke,助记：还没想好怎么编
缶,wle,助记：还没想好怎么编
用,wo,助记：无「wu」用「yong」
魚,wpe,助记：我「wo」赔「pei」魚
瓦,wro,助记：还没想好怎么编
,xe,助记：还没想好怎么编
田,xke,助记：还没想好怎么编
匚,xle,助记：跟「己」一样
,xle,助记：㊟同「匚」归并
己,xle,助记：跟「匚」一样
水,xme,助记：还没想好怎么编
氺,xme,助记：㊟同「水」归并
鸟,xpe,助记：还没想好怎么编
,xpe,助记：㊟同「鸟」归并
乌,xje,助记：还没想好怎么编
臣,xu,助记：还没想好怎么编
,xvu,助记：还没想好怎么编
,xvu,助记：㊟同「」归并
幺,xyo,助记：小「xiao」幺「yao」
虫,ya,助记：牙「ya」虫
非,ybu,助记：还没想好怎么编
麻,yci,助记：还没想好怎么编
虎,ydo,助记：远「yuan」东「dong」巨虎
虍,ydo,助记：㊟同「虎」归并
,ydo,助记：㊟同「虎」归并
,ye,助记：野「ye」鼠「」
甶,ye,助记：耶「ye」夫「甶fú」
,ye,助记：㊟同「甶」归并
足,ye,助记：月「yue」租「足」
皿,yfo,助记：还没想好怎么编
罒,yfo,助记：㊟同「皿」归并
,yi,助记：青「」衣「yi」
,yi,助记：㊟同「」归并
冂,ysu,助记：还没想好怎么编
,ysu,助记：㊟同「冂」归并
,ysu,助记：㊟同「冂」归并
巳,yti,助记：还没想好怎么编
,yti,助记：㊟同「巳」归并
巾,yvo,助记：还没想好怎么编
片,ywi,助记：要「y」文「wei」艺片
爿,yye,助记：还没想好怎么编
面,ywu,助记：还没想好怎么编
母,yxo,助记：还没想好怎么编
,yxo,助记：㊟同「母」归并
